ID,QUOTE,AUTHOR,REFLECTION,SOCIAL_MEDIA_POST,STATUS,YT stats after 2 days
11,Niedoskonałość nie jest naszym osobistym problemem – to naturalna część istnienia.,Tara Brach,"Tylko gdy przestaniemy walczyć z tym, kim jesteśmy, odkrywamy prawdziwą wolność.

Niedoskonałość to nie przeszkoda na drodze do szczęścia – to jej naturalny element.

Czy potrafisz dziś objąć swoją niedoskonałość łagodną akceptacją?","🧘 Tylko gdy przestaniemy walczyć z tym, kim jesteśmy, odkrywamy prawdziwą wolność.

Niedoskonałość to nie przeszkoda na drodze do szczęścia – to jej naturalny element.

Czy potrafisz dziś objąć swoją niedoskonałość łagodną akceptacją?

#medytacja #świadomość #rozwójduchowy #duchowość #niedoskonałość #akceptacja",,
12,Zwracanie uwagi to najbardziej podstawowy i głęboki wyraz miłości.,Tara Brach,"Prawdziwa uwaga to najpiękniejszy dar, jaki możemy komukolwiek ofiarować.

W świecie miliona rozpraszaczy, obecność staje się najcenniejszą walutą.

Komu dzisiaj podarujesz swoje pełne, uważne spojrzenie?","🧘 Prawdziwa uwaga to najpiękniejszy dar, jaki możemy komukolwiek ofiarować.

W świecie miliona rozpraszaczy, obecność staje się najcenniejszą walutą.

Komu dzisiaj podarujesz swoje pełne, uważne spojrzenie?

#medytacja #świadomość #rozwójduchowy #duchowość #uwaga #obecność",,
13,"Granica tego, co możemy zaakceptować, to granica naszej wolności.",Tara Brach,"Nasza wolność nie zależy od okoliczności – zależy od tego, co jesteśmy gotowi przyjąć.

Im więcej akceptujemy, tym przestronniejsze staje się nasze serce.

Jakie granice swojej akceptacji chciałbyś dziś delikatnie poszerzyć?","🧘 Nasza wolność nie zależy od okoliczności – zależy od tego, co jesteśmy gotowi przyjąć.

Im więcej akceptujemy, tym przestronniejsze staje się nasze serce.

Jakie granice swojej akceptacji chciałbyś dziś delikatnie poszerzyć?

#medytacja #świadomość #rozwójduchowy #duchowość #wolność #granice",,
14,"Jak by to było, gdybym mógł zaakceptować życie – zaakceptować tę chwilę – dokładnie taką, jaka jest?",Tara Brach,"Ten moment, taki jaki jest, zawiera wszystko, czego potrzebujemy.

Przestajemy walczyć z rzeczywistością i zaczynamy z nią tańczyć.

Czy potrafisz dziś przywitać jedną trudną chwilę z otwartymi ramionami?","🧘 Ten moment, taki jaki jest, zawiera wszystko, czego potrzebujemy.

Przestajemy walczyć z rzeczywistością i zaczynamy z nią tańczyć.

Czy potrafisz dziś przywitać jedną trudną chwilę z otwartymi ramionami?

#medytacja #świadomość #rozwójduchowy #duchowość #moment #rzeczywistość",,
15,"Poprzez świętą sztukę zatrzymywania się rozwijamy zdolność do przestania się ukrywać, przestania uciekać od naszego doświadczenia. Zaczynamy ufać naszej naturalnej inteligencji, naszemu naturalnie mądremu sercu, naszej zdolności do otwarcia się na wszystko, co się pojawia.",Tara Brach,"W zatrzymaniu odnajdujemy odwagę do prawdy o sobie.

Ucieczka kończy się, gdy pozwalamy sobie po prostu być z tym, co jest.

Jak brzmiałaby twoja mądrość, gdybyś dziś przestał się ukrywać przed sobą?","🧘 W zatrzymaniu odnajdujemy odwagę do prawdy o sobie.

Ucieczka kończy się, gdy pozwalamy sobie po prostu być z tym, co jest.

Jak brzmiałaby twoja mądrość, gdybyś dziś przestał się ukrywać przed sobą?

#medytacja #świadomość #rozwójduchowy #duchowość #zatrzymanie #prawda",,
16,"Na tej świętej ścieżce Radykalnej Akceptacji, zamiast dążyć do doskonałości, odkrywamy, jak kochać siebie w całość.",Tara Brach,"Całość siebie oznacza akceptację każdej części – tej jasnej i tej ciemnej.

To nie doskonałość czyni nas pełnymi, lecz odwaga do bycia prawdziwymi.

Którą część siebie chciałbyś dziś pokochać trochę bardziej?","🧘 Całość siebie oznacza akceptację każdej części – tej jasnej i tej ciemnej.

To nie doskonałość czyni nas pełnymi, lecz odwaga do bycia prawdziwymi.

Którą część siebie chciałbyś dziś pokochać trochę bardziej?

#medytacja #świadomość #rozwójduchowy #duchowość #całość #prawda",,
17,"Trans niegodności utrzymuje słodycz przynależności poza zasięgiem. Ścieżką do ""słodyczy przynależności"" jest akceptacja – akceptacja siebie i akceptacja innych bez osądzania.",Tara Brach,"Prawdziwa przynależność rodzi się z akceptacji siebie i innych bez warunków.

Gdy przestaniemy walczyć o uznanie, odkryjemy słodycz bycia po prostu sobą.

Czy dzisiaj pozwolisz sobie należeć dokładnie tam, gdzie jesteś?","🧘 Prawdziwa przynależność rodzi się z akceptacji siebie i innych bez warunków.

Gdy przestaniemy walczyć o uznanie, odkryjemy słodycz bycia po prostu sobą.

Czy dzisiaj pozwolisz sobie należeć dokładnie tam, gdzie jesteś?

#medytacja #świadomość #rozwójduchowy #duchowość #przynależność #bycie",,
18,"Jeśli nie teraz, to kiedy?",Eckhart Tolle,"Pytanie, które zmienia wszystko – nie „kiedyś"", ale „dlaczego nie teraz""?

Życie dzieje się w tej chwili, nie w planach na przyszłość.

Co chciałbyś przeżyć pełniej już dzisiaj?","🧘 Pytanie, które zmienia wszystko – nie „kiedyś"", ale „dlaczego nie teraz""?

Życie dzieje się w tej chwili, nie w planach na przyszłość.

Co chciałbyś przeżyć pełniej już dzisiaj?

#medytacja #świadomość #rozwójduchowy #duchowość #teraz #życie",,
19,Przeszłość nie ma władzy nad obecną chwilą.,Eckhart Tolle,"Przeszłość to tylko wspomnienia, które istnieją teraz w naszym umyśle.

Kiedy uwalniamy się od jej ciężaru, odkrywamy lekkość obecnej chwili.

Jakie wspomnienie możesz dziś puścić z wdzięcznością i spokojem?","🧘 Przeszłość to tylko wspomnienia, które istnieją teraz w naszym umyśle.

Kiedy uwalniamy się od jej ciężaru, odkrywamy lekkość obecnej chwili.

Jakie wspomnienie możesz dziś puścić z wdzięcznością i spokojem?

#medytacja #świadomość #rozwójduchowy #duchowość #przeszłość #puścić",,
20,"Uświadom sobie głęboko, że obecna chwila to wszystko, co kiedykolwiek będziesz mieć.",Eckhart Tolle,"Obecna chwila to jedyne prawdziwe miejsce, w którym możemy żyć.

Przeszłość już minęła, przyszłość jeszcze nie nadeszła – życie dzieje się tutaj i teraz.

Czy możesz dziś w pełni zamieszkać w tym momencie?","🧘 Obecna chwila to jedyne prawdziwe miejsce, w którym możemy żyć.

Przeszłość już minęła, przyszłość jeszcze nie nadeszła – życie dzieje się tutaj i teraz.

Czy możesz dziś w pełni zamieszkać w tym momencie?

#medytacja #świadomość #rozwójduchowy #duchowość #teraźniejszość #życie",,
21,To też przeminie.,Eckhart Tolle,"Każde trudne uczucie, każdy ból, każda radość – wszystko ma swój koniec.

Ta prosta prawda daje nam siłę w cierpieniu i pokórę w szczęściu.

Jakie emocje dzisiaj pozwolisz sobie przepłynąć przez serce bez oporu?","🧘 Każde trudne uczucie, każdy ból, każda radość – wszystko ma swój koniec.

Ta prosta prawda daje nam siłę w cierpieniu i pokórę w szczęściu.

Jakie emocje dzisiaj pozwolisz sobie przepłynąć przez serce bez oporu?

#medytacja #świadomość #rozwójduchowy #duchowość #przemijanie #emocje",,
22,Wszystkie problemy to iluzje umysłu.,Eckhart Tolle,"To, co nazywamy problemami, często są tylko myślami o rzeczywistości.

Sama rzeczywistość jest neutralna – to nasze interpretacje dodają jej cierpienie lub radość.

Czy potrafisz dziś spojrzeć na jedno wyzwanie bez osądu i oceny?","🧘 To, co nazywamy problemami, często są tylko myślami o rzeczywistości.

Sama rzeczywistość jest neutralna – to nasze interpretacje dodają jej cierpienie lub radość.

Czy potrafisz dziś spojrzeć na jedno wyzwanie bez osądu i oceny?

#medytacja #świadomość #rozwójduchowy #duchowość #problemy #perspektywa",,
23,"Życie nie jest tak poważne, jak umysł to przedstawia.",Eckhart Tolle,"Umysł ma tendencję do dramatyzowania zwykłych sytuacji.

Kiedy pozwalamy sobie oddalić od mentalnych opowieści, odkrywamy lekkość bycia.

Jak dzisiaj możesz spojrzeć na życie z większą lekkością i humorem?","🧘 Umysł ma tendencję do dramatyzowania zwykłych sytuacji.

Kiedy pozwalamy sobie oddalić od mentalnych opowieści, odkrywamy lekkość bycia.

Jak dzisiaj możesz spojrzeć na życie z większą lekkością i humorem?

#medytacja #świadomość #rozwójduchowy #duchowość #lekkość #humor",,
24,Świadomość to największy agent zmiany.,Eckhart Tolle,"Kiedy stajemy się świadomi naszych wzorców myślenia, zyskujemy możliwość ich zmiany.

Świadomość to pierwszy krok do każdej transformacji.

Co dzisiaj chcesz w sobie zauważyć i łagodnie przemienić?","🧘 Kiedy stajemy się świadomi naszych wzorców myślenia, zyskujemy możliwość ich zmiany.

Świadomość to pierwszy krok do każdej transformacji.

Co dzisiaj chcesz w sobie zauważyć i łagodnie przemienić?

#medytacja #świadomość #rozwójduchowy #duchowość #zmiana #transformacja",,
25,"Główną przyczyną nieszczęścia nigdy nie jest sytuacja, ale twoje myśli o niej.",Eckhart Tolle,,,,
26,Nie jesteś swoim umysłem.,Eckhart Tolle,,,,
27,"Cokolwiek zawiera obecna chwila, przyjmij to, jakbyś tego dokonał wyboru.",Eckhart Tolle,,,,
28,Nierzadko ludzie spędzają całe życie czekając na rozpoczęcie życia.,Eckhart Tolle,,,,
29,Bycie musi być odczute. Nie można go pomyśleć.,Eckhart Tolle,,,,
30,"Zmartwienie udaje, że jest niezbędne, ale nie służy żadnemu pożytecznemu celowi.",Eckhart Tolle,,,,
31,"Niektóre zmiany wyglądają negatywnie na powierzchni, ale wkrótce zrozumiesz, że w twoim życiu tworzy się przestrzeń dla czegoś nowego, co ma się pojawić.",Eckhart Tolle,,,,
32,"Uznanie dobra, które już masz w swoim życiu, to fundament wszelkiej obfitości.",Eckhart Tolle,,,,
33,Czasami puszczanie rzeczy to akt o wiele większej mocy niż obrona czy trzymanie się.,Eckhart Tolle,,,,
34,Nieopór to klucz do największej mocy we wszechświecie.,Eckhart Tolle,,,,
35,Kochać to rozpoznać siebie w drugim.,Eckhart Tolle,,,,
36,Życie da ci jakiekolwiek doświadczenie będzie najbardziej pomocne dla ewolucji twojej świadomości.,Eckhart Tolle,,,,
37,"Jesteś tutaj, aby umożliwić boskiemu celowi Wszechświata rozwinięcie się. Oto jak ważny jesteś!",Eckhart Tolle,,,,
38,Stań się świadomy bycia świadomym.,Eckhart Tolle,,,,
39,"Dopóki tworzysz z bólu tożsamość dla siebie, nie możesz być z niego wolny.",Eckhart Tolle,,,,
40,"Nie pozwól szalonemu światu mówić ci, że sukces to coś innego niż udana obecna chwila.",Eckhart Tolle,,,,
41,"Przyjemność zawsze pochodzi z czegoś poza tobą, podczas gdy radość powstaje w tobie.",Eckhart Tolle,,,,
42,"Robienie nigdy nie wystarczy, jeśli zaniedbasz bycie.",Eckhart Tolle,"Nie wystarczy tylko robić – ważne jest też pozwolić sobie istnieć.

W ciszy bycia odnajdujemy spokój, którego nie daje nam żadne działanie.

Kiedy ostatnio pozwoliłeś sobie po prostu być obecny?","🧘 Nie wystarczy tylko robić – ważne jest też pozwolić sobie istnieć.

W ciszy bycia odnajdujemy spokój, którego nie daje nam żadne działanie.

Kiedy ostatnio pozwoliłeś sobie po prostu być obecny?

#medytacja #świadomość #rozwójduchowy #duchowość #bycie #spokój",,
43,"Problem polega na tym, że myślisz, że masz czas.",Budda,,,,
44,"Umysł to wszystko. Czym myślimy, tym się stajemy.",Budda,,,,
45,"Każdego ranka rodzimy się na nowo. To, co robimy dziś, ma największe znaczenie.",Budda,,,,
46,"Medytuj. Żyj czysto. Bądź cichy. Wykonuj swoją pracę z mistrzostwem. Jak księżyc, wyjdź zza chmur! Świeć.",Budda,,,,
47,Przywiązanie prowadzi do cierpienia.,Budda,,,,
48,Największa modlitwa to cierpliwość.,Budda,,,,
49,"Przeszłość już minęła, przyszłość jeszcze nie nadeszła. Jest tylko jeden moment, w którym możesz żyć, i to jest obecna chwila.",Budda,,,,
50,"Sekret zdrowia zarówno umysłu, jak i ciała polega na tym, aby nie opłakiwać przeszłości, nie martwić się przyszłością, ale żyć obecną chwilą mądrze i szczerze.",Budda,,,,
51,Wątp we wszystko. Znajdź własne światło.,Budda,,,,
52,Nie zostaniesz ukarany za swój gniew; zostaniesz ukarany przez swój gniew.,Budda,,,,
53,"Kurczowe trzymanie się gniewu to jak picie trucizny i oczekiwanie, że umrze druga osoba.",Budda,,,,
54,"Nic nie może ci zaszkodzić tak bardzo, jak twoje własne myśli niestrzeżone.",Budda,"Nasze własne myśli mogą być naszymi najsurowszymi sędzia.

Kiedy obserwujemy je bez osądu, tracą swoją moc nad nami.

Jakie myśli dzisiaj pozwolisz sobie przepłynąć bez przywiązania?","🧘 Nasze własne myśli mogą być naszymi najsurowszymi sędzia.

Kiedy obserwujemy je bez osądu, tracą swoją moc nad nami.

Jakie myśli dzisiaj pozwolisz sobie przepłynąć bez przywiązania?

#medytacja #świadomość #rozwójduchowy #duchowość #myśli #obserwacja",,
55,Prawdziwa miłość rodzi się ze zrozumienia.,Budda,,,,
56,Nikt nie zbawia nas oprócz nas samych. Nikt nie może i nikt nie powinien. Sami musimy iść ścieżką.,Budda,,,,
57,"Nie wierz w nic, bez względu na to, gdzie to czytałeś, czy kto to powiedział, bez względu na to, czy ja to powiedziałem, chyba że zgadza się to z twoim własnym rozumem i twoim własnym zdrowym rozsądkiem.",Budda,,,,
58,"Pamiętaj, że jedyną stałą w życiu jest zmiana.",Budda,,,,
59,Nic nigdy nie istnieje całkowicie samo; wszystko pozostaje w relacji ze wszystkim innym.,Budda,,,,
60,"Pochwała i nagana, zysk i strata, przyjemność i smutek przychodzą i odchodzą jak wiatr. Aby być szczęśliwym, odpoczywaj jak wielkie drzewo pośród nich wszystkich.",Budda,,,,
61,"Ty sam, tak jak ktokolwiek w całym wszechświecie, zasługujesz na swoją miłość i uczucie.",Budda,,,,
62,Być pięknym oznacza być sobą. Nie musisz być akceptowany przez innych. Musisz zaakceptować siebie.,Thich Nhat Hanh,,,,
63,"Budząc się dziś rano, uśmiecham się. Dwadzieścia cztery zupełnie nowe godziny są przede mną. Ślubuje, że będę żył pełnie w każdej chwili i będę patrzył na wszystkie istoty oczami współczucia.",Thich Nhat Hanh,,,,
64,"Uśmiechnij się, oddychaj i idź powoli.",Thich Nhat Hanh,,,,
65,"Wdychając, uspokajam ciało i umysł. Wydychając, uśmiecham się. Przebywając w obecnej chwili, wiem, że to jedyna chwila.",Thich Nhat Hanh,,,,
66,"Puszczanie daje nam wolność, a wolność to jedyny warunek szczęścia. Jeśli w naszym sercu wciąż trzymamy się czegokolwiek – gniewu, lęku czy posiadania – nie możemy być wolni.",Thich Nhat Hanh,,,,
67,"Jesteśmy tutaj, aby przebudzić się z naszej iluzji oddzielenia.",Thich Nhat Hanh,,,,
68,Życie jest dostępne tylko w obecnej chwili.,Thich Nhat Hanh,"Życie nie wydarza się wczoraj ani jutro – dzieje się właśnie teraz.

W obecnej chwili odnajdujemy wszystko, czego potrzebujemy do szczęścia.

Czy możesz dziś w pełni zamieszkać w tym momencie?","🧘 Życie nie wydarza się wczoraj ani jutro – dzieje się właśnie teraz.

W obecnej chwili odnajdujemy wszystko, czego potrzebujemy do szczęścia.

Czy możesz dziś w pełni zamieszkać w tym momencie?

#medytacja #świadomość #rozwójduchowy #duchowość #chwila #życie",,
69,Dzięki przemijaniu wszystko jest możliwe.,Thich Nhat Hanh,,,,
70,Uczucia przychodzą i odchodzą jak chmury na wietrznym niebie. Świadome oddychanie to moja kotwica.,Thich Nhat Hanh,,,,
71,"Musisz kochać w taki sposób, aby osoba, którą kochasz, czuła się wolna.",Thich Nhat Hanh,,,,
72,Nasze własne życie musi być naszym przesłaniem.,Thich Nhat Hanh,,,,
73,"Kiedy inna osoba sprawia, że cierpisz, to dlatego, że głęboko cierpi w sobie, a jej cierpienie się przelewa. Nie potrzebuje kary; potrzebuje pomocy. To jest przesłanie, które wysyła.",Thich Nhat Hanh,"Za każdym trudnym zachowaniem kryje się rana i potrzeba zrozumienia.

Gdy patrzymy przez pryzmat współczucia, zmieniamy całą dynamikę relacji.

Czy potrafisz dziś odpowiedzieć miłością na czyjś ból?","🧘 Za każdym trudnym zachowaniem kryje się rana i potrzeba zrozumienia.

Gdy patrzymy przez pryzmat współczucia, zmieniamy całą dynamikę relacji.

Czy potrafisz dziś odpowiedzieć miłością na czyjś ból?

#medytacja #świadomość #rozwójduchowy #duchowość #współczucie #miłość",,
74,Tylko obecna chwila zawiera życie.,Thich Nhat Hanh,,,,
75,Dzięki twojemu uśmiechowi czynisz życie piękniejszym.,Thich Nhat Hanh,,,,
76,"Obiecuję sobie, że będę cieszyć się każdą minutą dnia, która została mi dana do życia.",Thich Nhat Hanh,,,,
77,"Najcenniejszym darem, jaki możemy komuś ofiarować, jest nasza uwaga. Kiedy uważność obejmuje tych, których kochamy, rozkwitną jak kwiaty.",Thich Nhat Hanh,,,,
78,"Przeszłość minęła, przyszłość jeszcze nie nadeszła, a jeśli nie wrócimy do siebie w obecnej chwili, nie możemy być w kontakcie z życiem.",Thich Nhat Hanh,,,,
79,"Fala nie musi umrzeć, aby stać się wodą. Ona już jest wodą.",Thich Nhat Hanh,,,,
80,"Sekret buddyzmu polega na usunięciu wszystkich idei, wszystkich koncepcji, aby prawda miała szansę przeniknąć, objawić się.",Thich Nhat Hanh,"Prawdziwa mądrość rodzi się, gdy porzucamy wszystkie koncepcje o rzeczywistości.

Kiedy puszczamy potrzebę rozumienia wszystkiego umysłem, otwiera się przestrzeń na bezpośrednie doświadczenie.

Czy potrafisz dziś pozwolić prawdzie objawić się bez narzucania jej swojej interpretacji?","🧘 Prawdziwa mądrość rodzi się, gdy porzucamy wszystkie koncepcje o rzeczywistości.

Kiedy puszczamy potrzebę rozumienia wszystkiego umysłem, otwiera się przestrzeń na bezpośrednie doświadczenie.

Czy potrafisz dziś pozwolić prawdzie objawić się bez narzucania jej swojej interpretacji?

#medytacja #świadomość #rozwójduchowy #duchowość #prawda #mądrość",,
81,"Czasami twoja radość jest źródłem twojego uśmiechu, ale czasami twój uśmiech może być źródłem twojej radości.",Thich Nhat Hanh,,,,
82,"Moje czyny to moja jedyna prawdziwa własność. Nie mogę uciec od konsekwencji moich czynów. Moje czyny to grunt, na którym stoję.",Thich Nhat Hanh,,,,
83,"Wdychając, jest tylko obecna chwila. Wydychając, to wspaniała chwila.",Thich Nhat Hanh,,,,
84,"Jeśli nie wiemy, jak się sobą opiekować i kochać siebie, nie możemy opiekować się ludźmi, których kochamy. Kochanie siebie to fundament kochania drugiej osoby.",Thich Nhat Hanh,,,,
85,"Oddech jest mostem, który łączy życie ze świadomością, który jednoczy twoje ciało z twoimi myślami. Kiedy twój umysł się rozprasza, użyj oddechu jako środka do ponownego opanowania umysłu.",Thich Nhat Hanh,,,,
86,"W uważności człowiek jest nie tylko spokojny i szczęśliwy, ale też czujny i przebudzony. Medytacja to nie ucieczka; to spokojne spotkanie z rzeczywistością.",Thich Nhat Hanh,,,,
87,"Idź, jakbyś całował Ziemię swoimi stopami.",Thich Nhat Hanh,,,,
88,"Prawdziwym cudem nie jest chodzenie po wodzie czy chodzenie w powietrzu, ale po prostu chodzenie po tej ziemi.",Thich Nhat Hanh,,,,
89,"Aby rzeczy objawily się nam, musimy być gotowi porzucić nasze poglądy o nich.",Thich Nhat Hanh,,,,
90,"Pij swoją herbatę powoli i z szacunkiem, jakby była osią, wokół której obraca się świat – powoli, równomiernie, nie śpiesząc się w stronę przyszłości.",Thich Nhat Hanh,,,,
91,"Jestem zdeterminowany, aby praktykować głębokie słuchanie. Jestem zdeterminowany, aby praktykować kochającą mowę.",Thich Nhat Hanh,,,,
92,"Nasienie cierpienia w tobie może być silne, ale nie czekaj, aż nie będziesz już więcej cierpieć, zanim pozwolisz sobie być szczęśliwym.",Thich Nhat Hanh,,,,
93,"Kiedy jesteśmy uważni, głęboko w kontakcie z obecną chwilą, nasze zrozumienie tego, co się dzieje, pogłębia się i zaczynamy być wypełnieni akceptacją, radością, pokojem i miłością.",Thich Nhat Hanh,,,,
94,"Jeśli w naszym codziennym życiu możemy się uśmiechać, jeśli możemy być spokojni i szczęśliwy, nie tylko my, ale wszyscy na tym skorzystają. To najbardziej podstawowy rodzaj pracy na rzecz pokoju.",Thich Nhat Hanh,"Prawdziwe szczęście rodzi się z wewnętrznej harmonii.

Gdy jesteśmy w pokoju ze sobą, naturalnie promieniujemy tym spokojem na innych.

Jak możesz dziś stać się źródłem radości w swoim otoczeniu?","🧘 Prawdziwe szczęście rodzi się z wewnętrznej harmonii.

Gdy jesteśmy w pokoju ze sobą, naturalnie promieniujemy tym spokojem na innych.

Jak możesz dziś stać się źródłem radości w swoim otoczeniu?

#medytacja #świadomość #rozwójduchowy #duchowość #pokój #harmonia",,
95,Zrozumienie oznacza wyrzucenie swojej wiedzy.,Thich Nhat Hanh,,,,
